landscape_id;landscape;year;age_enclos;habitat;site_id;season;season_site_id;bird_rich;dec_long;dec_lat;tot_strata;plant_rich_tot;Shannon_vertical;herb_cov;herb_height;max.NDVI.50;max.NDVI.500;nb_houses;diff.max.NDVI.500
77C_12;77C;2012;11;open;77C_12_open;post rainy;post rainy_77C_12_open;27;-1.825967;12.307259;4;2;0;0;0;0.138;0.503;116;0.274
77C_12;77C;2012;11;woody;77C_12_woody;post rainy;post rainy_77C_12_woody;20;-1.828524;12.30629;29;11;0.91013473;60;50;0.698;0.503;116;0.274
86C_12;86C;2012;11;enclos;86C_12_enclos;post rainy;post rainy_86C_12_enclos;25;-1.397808;12.724553;18;8;1.334396047;90;200;0.782;0.538;21;0.327
86C_12;86C;2012;11;open;86C_12_open;post rainy;post rainy_86C_12_open;19;-1.395786;12.724077;8;3;0.562335145;30;40;0.493;0.538;21;0.327
86C_12;86C;2012;11;woody;86C_12_woody;post rainy;post rainy_86C_12_woody;16;-1.395388;12.726335;17;7;1.339718043;70;50;0.585;0.538;21;0.327
89C_13;89C;2013;10;enclos;89C_13_enclos;post rainy;post rainy_89C_13_enclos;26;-1.850648;12.322994;29;7;1.068483591;10;50;0.586;0.527;165;0.307
89C_13;89C;2013;10;open;89C_13_open;post rainy;post rainy_89C_13_open;21;-1.8499;12.325269;11;4;0.600166073;10;20;0.498;0.527;165;0.307
89C_13;89C;2013;10;woody;89C_13_woody;post rainy;post rainy_89C_13_woody;20;-1.84842;12.323733;24;9;1.292030131;10;30;0.542;0.527;165;0.307
94C_13;94C;2013;10;enclos;94C_13_enclos;post rainy;post rainy_94C_13_enclos;28;-1.762664;12.568745;21;8;1.052922566;100;200;0.606;0.523;46;0.333
94C_13;94C;2013;10;open;94C_13_open;post rainy;post rainy_94C_13_open;14;-1.761257;12.564993;12;2;1.308605387;30;40;0.469;0.523;46;0.333
94C_13;94C;2013;10;woody;94C_13_woody;post rainy;post rainy_94C_13_woody;17;-1.76305;12.566105;20;6;1.010412754;60;80;0.583;0.523;46;0.333
98C_14;98C;2014;9;enclos;98C_14_enclos;post rainy;post rainy_98C_14_enclos;22;-1.884751;12.328606;24;8;1.320888343;60;120;0.637;0.516;52;0.288
98C_14;98C;2014;9;open;98C_14_open;post rainy;post rainy_98C_14_open;20;-1.882564;12.328371;5;4;0.673011667;60;50;0.599;0.516;52;0.288
98C_14;98C;2014;9;woody;98C_14_woody;post rainy;post rainy_98C_14_woody;18;-1.881821;12.325806;18;9;1.185820313;10;30;0.554;0.516;52;0.288
